"ID","DRL_1","DRL_2","DRL_3","DRL_TB","DTBN_1","DTBN_2","DTBN_3","So_gio_lam_them","So_mon_chua_hoc","So_mon_chua_chua_tra_no","DTBTL","Ket_qua","","","","","",""
"1","75","69.5","57.5","67.333333333333","6.21","6.50","6.40","25","0","0","6.65","1","","","","","",""
"2","83","74","57","71.333333333333","6.63","6.31","6.45","20","0","0","6.80","1","","","","","",""
"3","85","64","70","73","5.29","4.60","5.53","40","8","2","5.58","0","","","","","",""
"4","69","70","45","61.333333333333","6.25","6.87","6.80","0","0","0","6.72","1","","","","","",""
"5","91","78","95","88","8.09","7.97","8.21","0","0","0","8.24","1","","","","","",""
"6","76","59","70","68.333333333333","7.38","6.97","7.56","25","0","0","7.53","1","","","","","",""
"7","76","71","61","69.333333333333","4.52","3.60","5.28","40","5","7","4.75","0","","","","","",""
"8","83","94","100","92.333333333333","6.49","6.29","6.81","20","0","0","6.98","1","","","","","",""
"9","73","74","67","71.333333333333","7.76","6.66","7.54","0","1","1","7.30","0","","","","","",""
"10","65.5","65","60.5","63.666666666667","4.74","6.14","6.16","30","1","1","6.21","0","","","","","",""
"11","74","50.5","58","60.833333333333","6.59","6.86","6.40","30","0","0","6.75","1","","","","","",""
"12","73","82","66","73.666666666667","6.96","6.65","7.60","35","0","0","7.45","1","","","","","",""
"13","76","71","57","68","6.40","6.29","6.11","20","0","0","6.36","1","","","","","",""
"14","81","63","67","70.333333333333","6.28","6.42","6.48","30","0","0","6.63","1","","","","","",""
"15","72","64","63","66.333333333333","6.07","6.34","6.86","0","0","0","6.75","1","","","","","",""
"16","53.5","48.5","61","54.333333333333","6.20","6.63","7.02","0","0","0","7.10","1","","","","","",""
"17","70","71","64","68.333333333333","6.33","6.14","6.18","30","0","0","6.41","1","","","","","",""
"18","73.5","73","66.5","71","4.75","4.77","4.73","35","0","3","5.89","0","","","","","",""
"19","80.5","62","70","70.833333333333","6.16","5.59","5.88","40","0","3","6.28","0","","","","","",""
"20","78","50.5","55.5","61.333333333333","6.11","4.34","3.09","45","20","6","3.77","0","","","","","",""
"21","75.5","48.5","72","65.333333333333","6.42","6.08","6.02","25","0","1","6.44","0","","","","","",""
"22","75","44.5","26.5","48.666666666667","4.68","5.33","4.86","35","3","2","5.69","0","","","","","",""
"23","75.5","53","63.5","64","6.49","7.01","7.24","0","0","0","7.21","1","","","","","",""
"24","78","50.5","36.5","55","5.75","5.75","6.46","0","0","0","6.33","1","","","","","",""
"25","76.5","56.5","36.5","56.5","7.70","7.23","6.67","35","4","1","7.08","0","","","","","",""
"26","74","26","50.5","50.166666666667","6.51","6.38","6.77","30","0","0","6.75","1","","","","","",""
"27","75.5","54.5","37","55.666666666667","6.14","6.21","6.38","25","0","0","6.62","1","","","","","",""
"28","92","74","45","70.333333333333","6.48","5.88","6.48","25","1","0","6.54","0","","","","","",""
"29","87","60","67","71.333333333333","6.49","5.18","5.97","35","2","0","6.28","0","","","","","",""
"30","84.5","51","60","0","7.51","6.92","6.48","30","0","0","6.02","1","","","","","",""
"31","66","56","62","61.333333333333","6.04","6.29","7.34","0","0","0","6.38","1","","","","","",""
"32","74.5","60.5","44.5","59.833333333333","6.27","5.61","6.58","20","0","0","6.62","1","","","","","",""
"33","70","68.5","64","67.5","6.13","6.18","6.64","20","0","0","6.63","1","","","","","",""
"34","63.5","50","60","57.833333333333","6.33","5.72","6.17","25","0","0","6.07","1","","","","","",""
"35","73.5","74","67.5","71.666666666667","5.92","5.79","5.93","30","2","0","5.81","0","","","","","",""
"36","65.5","65","60.5","63.666666666667","7.22","5.87","6.12","25","0","0","5.89","1","","","","","",""
"37","53.5","48.5","61","54.333333333333","6.50","6.40","7.10","0","0","0","6.93","1","","","","","",""
