,DRL_1,DRL_2,DRL_3,DRL_TB,DTBN_1,DTBN_2,DTBN_3,So_gio_lam_them,So_mon_chua_hoc,So_mon_chua_chua_tra_no,DTBTL,Ket_qua
0,75.0,69.5,57.5,67.333333333333,6.21,6.5,6.4,25,0,0,6.65,1
1,83.0,74.0,57.0,71.333333333333,6.63,6.31,6.45,20,0,0,6.8,1
2,85.0,64.0,70.0,73.0,5.29,4.6,5.53,40,8,2,5.58,0
3,69.0,70.0,45.0,61.333333333332995,6.25,6.87,6.8,0,0,0,6.72,1
4,91.0,78.0,95.0,88.0,8.09,7.97,8.21,0,0,0,8.24,1
5,76.0,59.0,70.0,68.333333333333,7.38,6.97,7.56,25,0,0,7.53,1
6,76.0,71.0,61.0,69.333333333333,4.52,3.6,5.28,40,5,7,4.75,0
7,83.0,94.0,100.0,92.333333333333,6.49,6.29,6.81,20,0,0,6.98,1
8,73.0,74.0,67.0,71.333333333333,7.76,6.66,7.54,0,1,1,7.3,0
9,65.5,65.0,60.5,63.666666666667005,4.74,6.14,6.16,30,1,1,6.21,0
10,74.0,50.5,58.0,60.833333333332995,6.59,6.86,6.4,30,0,0,6.75,1
11,73.0,82.0,66.0,73.666666666667,6.96,6.65,7.6,35,0,0,7.45,1
12,76.0,71.0,57.0,68.0,6.4,6.29,6.11,20,0,0,6.36,1
13,81.0,63.0,67.0,70.333333333333,6.28,6.42,6.48,30,0,0,6.63,1
14,72.0,64.0,63.0,66.333333333333,6.07,6.34,6.86,0,0,0,6.75,1
15,53.5,48.5,61.0,54.333333333332995,6.2,6.63,7.02,0,0,0,7.1,1
16,70.0,71.0,64.0,68.333333333333,6.33,6.14,6.18,30,0,0,6.41,1
17,73.5,73.0,66.5,71.0,4.75,4.77,4.73,35,0,3,5.89,0
18,80.5,62.0,70.0,70.833333333333,6.16,5.59,5.88,40,0,3,6.28,0
19,78.0,50.5,55.5,61.333333333332995,6.11,4.34,3.09,45,20,6,3.77,0
20,75.5,48.5,72.0,65.333333333333,6.42,6.08,6.02,25,0,1,6.44,0
21,75.0,44.5,26.5,48.666666666667005,4.68,5.33,4.86,35,3,2,5.69,0
22,75.5,53.0,63.5,64.0,6.49,7.01,7.24,0,0,0,7.21,1
23,78.0,50.5,36.5,55.0,5.75,5.75,6.46,0,0,0,6.33,1
24,76.5,56.5,36.5,56.5,7.7,7.23,6.67,35,4,1,7.08,0
25,74.0,26.0,50.5,50.166666666667005,6.51,6.38,6.77,30,0,0,6.75,1
26,75.5,54.5,37.0,55.666666666667005,6.14,6.21,6.38,25,0,0,6.62,1
27,92.0,74.0,45.0,70.333333333333,6.48,5.88,6.48,25,1,0,6.54,0
28,87.0,60.0,67.0,71.333333333333,6.49,5.18,5.97,35,2,0,6.28,0
29,84.5,51.0,60.0,0.0,7.51,6.92,6.48,30,0,0,6.02,1
30,66.0,56.0,62.0,61.333333333332995,6.04,6.29,7.34,0,0,0,6.38,1
31,74.5,60.5,44.5,59.833333333332995,6.27,5.61,6.58,20,0,0,6.62,1
32,70.0,68.5,64.0,67.5,6.13,6.18,6.64,20,0,0,6.63,1
33,63.5,50.0,60.0,57.833333333332995,6.33,5.72,6.17,25,0,0,6.07,1
34,73.5,74.0,67.5,71.666666666667,5.92,5.79,5.93,30,2,0,5.81,0
35,65.5,65.0,60.5,63.666666666667005,7.22,5.87,6.12,25,0,0,5.89,1
36,53.5,48.5,61.0,54.333333333332995,6.5,6.4,7.1,0,0,0,6.93,1
37,70.0,71.0,64.0,68.333333333333,4.54,3.86,4.85,40,5,4,4.07,0
38,74.0,73.0,66.5,71.166666666667,6.49,6.06,6.66,30,0,0,6.68,1
39,80.5,62.0,70.0,70.833333333333,5.85,5.84,6.5,30,0,0,6.14,1
40,76.5,75.0,86.0,79.166666666667,7.1,6.78,7.59,0,0,0,7.29,1
41,71.0,73.0,60.5,68.166666666667,6.36,6.28,6.68,25,0,0,6.63,1
42,61.5,57.0,62.5,60.333333333332995,6.25,5.35,6.5,30,0,0,6.26,1
43,70.5,71.0,63.0,68.166666666667,6.63,5.94,6.83,35,0,1,5.84,0
44,70.0,68.0,65.0,67.666666666667,6.96,6.13,6.47,25,0,0,6.24,1
45,69.5,51.5,44.0,55.0,6.7,6.39,6.69,30,0,0,6.78,1
46,77.0,85.5,73.0,78.5,6.39,6.33,7.05,25,0,0,6.81,1
47,74.0,70.0,52.0,65.333333333333,6.24,6.64,7.11,30,0,0,6.99,1
48,93.0,47.0,43.5,61.166666666667005,6.09,6.42,6.58,25,0,0,6.63,1
49,66.0,49.0,57.5,57.5,6.08,5.93,6.81,25,0,0,6.6,1
50,76.0,47.5,70.0,64.5,6.48,5.92,6.04,30,0,0,6.34,1
51,76.5,75.0,86.0,79.166666666667,5.44,5.47,5.2,45,5,2,5.41,0
52,70.5,73.0,60.5,68.0,4.74,3.5,4.9,45,12,4,3.4,0
53,61.5,57.0,62.5,60.333333333332995,5.85,5.95,6.3,20,0,0,6.45,1
54,73.0,67.5,52.0,64.166666666667,1.28,3.57,4.48,45,6,9,3.32,0
55,70.0,69.5,63.0,67.5,5.83,6.21,6.45,20,0,0,6.52,1
56,82.0,59.0,58.0,66.333333333333,7.03,5.93,6.68,25,0,0,6.88,1
57,81.0,62.0,76.0,73.0,6.51,6.11,6.4,35,0,0,6.36,1
58,77.0,51.0,55.5,61.166666666667005,6.05,6.13,6.76,20,0,0,6.64,1
