"ID","DRL_1","DRL_2","DRL_3","DRL_TB","DTBN_1","DTBN_2","DTBN_3","So_gio_lam_them","So_mon_chua_hoc","So_mon_chua_chua_tra_no","DTBTL"
"1","57.5","62.5","76.5","65.5","6.21","5.95","7.12","35","0","2","6.53"
"2","92.5","98","80","90.2","8.06","8.15","6.27","30","0","2","7.35"
"3","71.5","30.5","70.5","57.5","6.69","3.36","6.84","35","0","5","5.99"
"4","58.5","66","70","64.8","5.83","5.78","6.95","35","0","4","6.28"
"5","86","91.5","92.5","90.0","7.13","6.98","6.99","20","0","0","7.02"
"6","66.5","75","72.5","71.3","6.74","7.29","7.55","0","0","0","7.28"
"7","66.5","76.5","97.5","80.2","6.45","6.74","7.40","0","0","1","6.95"
"8","52.5","66.5","64.5","61.2","6.08","7.03","7.45","0","0","0","7.09"
"9","52","62.5","71","61.8","6.28","6.94","7.37","25","0","0","7.05"
"10","62.5","71","74","69.2","6.50","6.89","7.18","30","0","0","6.94"
"11","64.5","72","79","71.8","6.68","6.99","8.03","25","0","0","7.3"
"12","55","66.5","72","64.5","6.02","6.02","7.00","0","0","1","6.46"
"13","55","65.5","77.5","66.0","5.97","6.74","7.19","20","0","1","6.81"
"14","71.5","73.5","80","75.0","7.78","8.19","8.37","0","0","0","8.15"
"15","94","80.5","91","88.5","6.80","7.10","7.97","0","0","0","7.36"
"16","74","83","94.5","83.8","6.58","7.61","7.81","0","0","0","7.43"
"17","60","63.5","72","65.2","6.63","6.62","7.77","20","0","0","7.08"
"18","82","74.5","74.5","77.0","6.79","7.30","7.79","0","0","0","7.38"
"19","58.5","56.5","70","61.7","6.24","6.28","7.09","25","0","1","6.63"
"20","66","75.5","82","74.5","7.18","8.21","8.31","30","0","0","8"
"21","68","71.5","75","71.5","6.42","6.79","7.50","0","0","0","7.04"
"22","81","80","80","80.3","6.41","6.74","6.58","25","0","1","6.61"
"23","43","49.5","79","57.2","5.87","6.28","8.34","40","6","1","7.34"
"24","62","66.5","65.5","64.7","6.90","7.05","7.73","25","1","0","7.28"
"25","53","62.5","57","57.5","6.76","6.27","6.22","30","3","2","6.34"
"26","78","90","89.5","85.8","8.37","8.67","8.62","20","0","0","8.75"
"27","69.5","77.5","80.5","75.8","6.28","7.44","7.77","20","0","0","7.28"
"28","81","83","86","83.3","6.85","7.58","8.31","25","0","0","7.7"
"29","70.5","77","66","71.2","6.39","7.02","7.64","25","0","0","7.14"
"30","75.5","82","66.5","74.7","6.03","6.74","7.02","30","0","2","6.65"
"31","59.5","67","74","66.8","6.15","6.21","7.17","25","1","0","6.64"
"32","51","2.5","75.5","43.0","5.59","4.82","5.96","40","1","7","5.71"
"33","21.5","21.5","19","20.7","2.83","3.46","4.74","45","2","18","3.86"
"34","54.5","22.5","45","40.7","4.99","4.51","4.59","35","4","8","4.66"
"35","59","59.5","53.5","57.3","6.15","5.43","5.73","35","1","6","5.73"
"36","83","85","86","84.7","7.06","7.48","7.99","20","0","0","7.57"
"37","59.5","68","74.5","67.3","6.33","6.09","6.73","0","0","2","6.42"
"38","79","84","85.5","82.8","7.28","7.22","8.25","0","0","0","7.62"
"39","61.5","61.5","68.5","63.8","6.60","5.94","6.20","35","3","3","6.17"
"40","51","54.5","52","52.5","4.10","5.09","6.21","35","1","10","5.43"
"41","48.5","27.5","41","39.0","4.70","3.87","3.76","45","0","17","4.03"
"42","70","71.5","77.5","73.0","6.57","6.93","7.56","0","0","1","7.1"
"43","56.5","58","57","57.2","5.71","5.49","5.97","35","4","3","5.78"
"44","50.5","3","23.5","25.7","4.02","2.43","4.37","35","4","13","3.64"
"45","23","26.5","20.5","23.3","4.22","5.12","3.68","35","4","17","4.36"
"46","27","20","37","28.0","2.50","1.79","2.70","35","3","25","2.35"
